Region,Population,Pop_perc,Urban_pop,Urban_pop_perc,Rural_pop,Rural_pop_perc,Area,Density_pop_sqkm,Federal_district
Москва,12678079.0,8.64,12480481.0,98.44,197598.0,1.56,2561.0,4950.44,ЦФО
Московская область,7690863.0,5.24,6258082.0,81.37,1432781.0,18.63,44329.0,173.5,ЦФО
Краснодарский край,5675462.0,3.87,3141509.0,55.35,2533953.0,44.65,75485.0,75.19,ЮФО
Санкт-Петербург,5398064.0,3.68,5398064.0,100.0,0.0,0.0,1403.0,3847.52,СЗФО
Свердловская область,4310681.0,2.94,3664715.0,85.01,645966.0,14.99,194307.0,22.18,УФО
Ростовская область,4197821.0,2.86,2862889.0,68.2,1334932.0,31.8,100967.0,41.58,ЮФО
Республика Башкортостан,4038151.0,2.75,2521840.0,62.45,1516311.0,37.55,142947.0,28.25,ПФО
Республика Татарстан,3902642.0,2.66,3002176.0,76.93,900712.0,23.08,67847.0,57.52,ПФО
Челябинская область,3466369.0,2.36,2866135.0,82.68,600234.0,17.32,88529.0,39.16,УФО
Нижегородская область,3202946.0,2.18,2552560.0,79.69,650386.0,20.31,76624.0,41.8,ПФО
Самарская область,3179532.0,2.17,2537382.0,79.8,642150.0,20.2,53565.0,59.36,ПФО
Республика Дагестан,3110858.0,2.12,1409430.0,45.31,1701428.0,54.69,50270.0,61.88,СКФО
Красноярский край,2866255.0,1.95,2222227.0,77.53,644028.0,22.47,2366797.0,1.21,СФО
Ставропольский край,2803573.0,1.91,1655560.0,59.05,1148013.0,40.95,66160.0,42.38,СКФО
Новосибирская область,2798170.0,1.91,2216355.0,79.21,581815.0,20.79,177756.0,15.74,СФО
Кемеровская область,2657854.0,1.81,2287237.0,86.06,370617.0,13.94,95725.0,27.77,СФО
Пермский край,2599260.0,1.77,1972991.0,75.91,626269.0,24.09,160236.0,16.22,ПФО
Волгоградская область,2491036.0,1.7,1925215.0,77.29,565821.0,22.71,112877.0,22.07,ЮФО
Саратовская область,2421895.0,1.65,1830840.0,75.6,591055.0,24.4,101240.0,23.92,ПФО
Иркутская область,2391193.0,1.63,1866880.0,78.07,524313.0,21.93,774846.0,3.09,СФО
Воронежская область,2324205.0,1.58,1579415.0,67.96,744790.0,32.04,52216.0,44.51,ЦФО
Алтайский край,2317153.0,1.58,1319564.0,56.95,997589.0,43.05,167996.0,13.79,СФО
Оренбургская область,1956835.0,1.33,1186569.0,60.64,770266.0,39.36,123702.0,15.82,ПФО
Омская область,1926665.0,1.31,1404883.0,72.92,521782.0,27.08,141140.0,13.65,СФО
Республика Крым,1912622.0,1.3,975208.0,50.99,937414.0,49.01,26081.0,73.33,ЮФО
Приморский край,1895868.0,1.29,1466775.0,77.37,429093.0,22.63,164673.0,11.51,ДВФО
Ленинградская область,1875872.0,1.28,1260249.0,67.18,615623.0,32.82,83908.0,22.36,СЗФО
Ханты-Мансийский АО,1674676.0,1.14,1549313.0,92.51,125363.0,7.49,534801.0,3.13,УФО
Белгородская область,1549151.0,1.06,1045518.0,67.49,503633.0,32.51,27134.0,57.09,ЦФО
Тюменская область,1537416.0,1.05,1037432.0,67.48,499984.0,32.52,160122.0,9.6,УФО
Удмуртская Республика,1500955.0,1.02,992177.0,66.1,508778.0,33.9,42061.0,35.69,ПФО
Чеченская Республика,1478726.0,1.01,545408.0,36.88,933318.0,63.12,16165.0,91.48,СКФО
Тульская область,1466127.0,1.0,1096983.0,74.82,369144.0,25.18,25679.0,57.09,ЦФО
Владимирская область,1358416.0,0.93,1062867.0,78.24,295549.0,21.76,29084.0,46.71,ЦФО
Хабаровский край,1315643.0,0.9,1079986.0,82.09,235657.0,17.91,787633.0,1.67,ДВФО
Пензенская область,1305563.0,0.89,899910.0,68.93,405653.0,31.07,43352.0,30.12,ПФО
Кировская область,1262402.0,0.86,981619.0,77.76,280783.0,22.24,120374.0,10.49,ПФО
Тверская область,1260379.0,0.86,959646.0,76.14,300733.0,23.86,84201.0,14.97,ЦФО
Ярославская область,1253389.0,0.85,1022743.0,81.6,230646.0,18.4,36177.0,34.65,ЦФО
Ульяновская область,1229824.0,0.84,932707.0,75.84,297117.0,24.16,37181.0,33.08,ПФО
Чувашская Республика,1217818.0,0.83,771935.0,63.39,445883.0,36.61,18343.0,66.39,ПФО
Брянская область,1192491.0,0.81,839822.0,70.43,352669.0,29.57,34857.0,34.21,ЦФО
Вологодская область,1160445.0,0.79,843041.0,72.65,317404.0,27.35,144527.0,8.03,СЗФО
Липецкая область,1139371.0,0.78,736408.0,64.63,402963.0,35.37,24047.0,47.38,ЦФО
Рязанская область,1108847.0,0.76,800626.0,72.2,308221.0,27.8,39605.0,28.0,ЦФО
Курская область,1104008.0,0.75,756464.0,68.52,347544.0,31.48,29997.0,36.8,ЦФО
Архангельская область,1092424.0,0.74,860768.0,78.79,231656.0,21.21,413103.0,2.64,СЗФО
Томская область,1079271.0,0.74,781457.0,72.41,297814.0,27.59,314391.0,3.43,СФО
Забайкальский край,1059700.0,0.72,722541.0,68.18,337159.0,31.82,431892.0,2.45,ДВФО
Калининградская область,1012512.0,0.69,786313.0,77.66,226199.0,22.34,15125.0,66.94,СЗФО
Тамбовская область,1006748.0,0.69,618017.0,61.39,388731.0,38.61,34462.0,29.21,ЦФО
Астраханская область,1005782.0,0.69,670980.0,66.71,334802.0,33.29,49024.0,20.52,ЮФО
Калужская область,1002575.0,0.68,760520.0,75.86,242055.0,24.14,29777.0,33.67,ЦФО
Ивановская область,997135.0,0.68,814778.0,81.71,182357.0,18.29,21437.0,46.51,ЦФО
Республика Бурятия,985937.0,0.67,583973.0,59.23,401964.0,40.77,351334.0,2.81,ДВФО
Республика Саха (Якутия),971996.0,0.66,642708.0,66.12,329288.0,33.88,3083523.0,0.32,ДВФО
Смоленская область,934889.0,0.64,671357.0,71.81,263532.0,28.19,49779.0,18.78,ЦФО
Кабардино-Балкарская Республика,868350.0,0.59,452093.0,52.06,416257.0,47.94,12470.0,69.64,СКФО
Курганская область,827166.0,0.56,514462.0,62.2,312704.0,37.8,71488.0,11.57,УФО
Республика Коми,820473.0,0.56,641721.0,78.21,178752.0,21.79,416774.0,1.97,СЗФО
Республика Мордовия,790197.0,0.54,504534.0,63.85,285663.0,36.15,26128.0,30.24,ПФО
Амурская область,790044.0,0.54,535151.0,67.74,254893.0,32.26,361908.0,2.18,ДВФО
Мурманская область,741404.0,0.51,683407.0,92.18,57997.0,7.82,144902.0,5.12,СЗФО
Орловская область,733498.0,0.5,489801.0,66.78,243697.0,33.22,24652.0,29.75,ЦФО
Республика Северная Осетия,696837.0,0.47,448301.0,64.33,248536.0,35.67,7987.0,87.25,СКФО
Республика Марий Эл,679417.0,0.46,455525.0,67.05,223892.0,32.95,23375.0,29.07,ПФО
Костромская область,633385.0,0.43,460694.0,72.74,172691.0,27.26,60211.0,10.52,ЦФО
Псковская область,626115.0,0.43,443751.0,70.87,182364.0,29.13,55399.0,11.3,СЗФО
Республика Карелия,614064.0,0.42,497337.0,80.99,116727.0,19.01,180520.0,3.4,СЗФО
Новгородская область,596508.0,0.41,426582.0,71.51,169926.0,28.49,54501.0,10.94,СЗФО
Ямало-Ненецкий АО,544444.0,0.37,457079.0,83.95,87365.0,16.05,769250.0,0.71,УФО
Республика Хакасия,534262.0,0.36,373057.0,69.83,161205.0,30.17,61569.0,8.68,СФО
Республика Ингушетия,507061.0,0.35,282147.0,55.64,224914.0,44.36,3123.0,162.36,СКФО
Сахалинская область,488257.0,0.33,402063.0,82.35,86194.0,17.65,87101.0,5.61,ДВФО
Карачаево-Черкесская Республика,465528.0,0.32,199631.0,42.88,265897.0,57.12,14277.0,32.61,СКФО
Республика Адыгея,463088.0,0.32,218981.0,47.29,244107.0,52.71,7792.0,59.43,ЮФО
Севастополь,449138.0,0.31,418773.0,93.24,30365.0,6.76,864.0,519.84,ЮФО
Республика Тыва,327383.0,0.22,177765.0,54.3,149618.0,45.7,168604.0,1.94,СФО
Камчатский край,313016.0,0.21,245607.0,78.46,67409.0,21.54,464275.0,0.67,ДВФО
Республика Калмыкия,271135.0,0.18,124462.0,45.9,146673.0,54.1,74731.0,3.63,ЮФО
Республика Алтай,220181.0,0.15,64464.0,29.28,155717.0,70.72,92903.0,2.37,СФО
Еврейская АО,158305.0,0.11,108681.0,68.65,49624.0,31.35,36271.0,4.36,ДВФО
Магаданская область,140149.0,0.1,134641.0,96.07,5508.0,3.93,462464.0,0.3,ДВФО
Чукотский АО,50288.0,0.03,35974.0,71.54,14314.0,28.46,721481.0,0.07,ДВФО
Ненецкий АО,44111.0,0.03,32538.0,73.76,11573.0,26.24,176810.0,0.25,СЗФО
